CODGEO;P17_POP;P17_LOG;P17_RP;P17_LOGVAC;P17_RP_PROP;MED17;TP6017;P17_CHOM1564;P17_ACT1564;INSEE_COM;REG;DEP
16353;801.0;418.155339805822;353.99999999999704;41.0995145631068;271.342114463566;18680.0;;52.0817354189587;372.18818310912906;16353;75;16
16354;118.0;80.0;54.0;14.0;38.0;18590.0;;7.0;58.0;16354;75;16
16355;1216.0;617.489291598021;517.9999999999981;71.3509060955519;446.46826426743104;20530.0;;54.459272694940005;572.110778752309;16355;75;16
16356;31.0;37.0;17.0;5.0;16.0;;;2.0;16.0;16356;75;16
16358;7274.0;3526.3764520710206;3267.1278013007395;238.439394521167;2187.6065259839997;22630.0;11.0;367.527241990699;3238.31151529633;16358;75;16
16359;1026.0;508.094672942016;440.979663195427;46.3188095434204;366.31361384257;21460.0;;41.3742649243675;460.14364984486394;16359;75;16
16360;427.0;213.28192775624;189.545954158881;10.6402640264026;153.542812028144;21470.0;;20.1194029554119;193.807305354594;16360;75;16
16361;323.0;193.0;145.0;28.0;131.0;18690.0;;20.0;151.0;16361;75;16
16362;352.0;277.863891896226;165.202453987729;41.5068455452356;133.889570552147;19070.0;;17.276073619631802;158.723926380368;16362;75;16
16363;522.0;324.681969363737;223.57358490566003;53.1600784264118;195.011320754717;18500.0;;23.6377358490566;225.54339622641498;16363;75;16
16366;2089.0;1078.4036041567401;923.602872895317;107.449919346166;657.996077866889;20520.0;14.0;96.58658023734141;960.835251319386;16366;75;16
16368;871.0;415.361662531017;362.916666666667;30.743618265309;303.084459459459;21060.0;;45.1193693693694;395.28490990990997;16368;75;16
16369;992.0;505.861328125002;435.000000000002;52.896484375;375.09680802392404;21460.0;;42.7770728806722;479.885650098947;16369;75;16
16370;1158.0;563.977852607647;514.839454492217;32.4313427561837;425.86719924987295;21760.0;;44.9859717517471;562.8244910274141;16370;75;16
16372;134.0;84.39080459770099;67.0;6.13793103448272;57.0;18000.0;;5.0;57.0;16372;75;16
16373;208.0;141.666666666667;104.0;15.066666666666698;94.44897959183692;17710.0;;6.367346938775519;82.7755102040818;16373;75;16
16374;9351.0;4824.16669373347;4313.221403729361;476.476758535583;1937.7892986549398;17340.0;28.0;981.327497764798;3683.61020854035;16374;75;16
16375;390.0;228.0;167.0;32.0;134.0;18910.0;;25.0;159.0;16375;75;16
16378;577.0;319.489654199809;256.107017543861;28.4762570483247;224.726315789475;19430.0;;22.270175438596603;254.08245614035198;16378;75;16
16379;1504.0;752.853292423147;676.091520861376;62.546628679962;524.274562584121;20150.0;;49.593539703903296;669.006729475104;16379;75;16
