INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
68024;0;10.3;58.4;15.6;10.8;5;10;0;10;57;15;76;89.2;10.8
68025;0;0;28;29.1;28;14.8;5;0;0;5;5;10;28.3;71.7
68026;8;25.1;17.1;34.7;10.1;4.9;74;59;184;126;255;639;80.4;19.6
68027;0;32.6;0;0;0;67.4;0;0;5;0;0;24;56.7;43.3
68028;9.8;16.3;28.6;34.7;6.2;4.5;41;66;109;192;233;680;79;21
68029;3.1;28.5;21.5;16.6;18.2;12.1;30;5;47;35;27;143;71.4;28.6
68030;20.8;16.3;10.6;46.9;5.4;0;5;19;15;10;44;89;85.3;14.7
68032;0;22;20.9;30;21.6;5.4;40;0;41;39;56;180;72.7;27.3
68033;0;16.5;0;50.8;0;32.7;0;0;5;0;15;29;73.8;26.2
68034;21.7;0;43.5;13;10.9;10.9;5;10;0;20;6;37;72.9;27.1
68035;0;12.7;37.3;37.6;12.4;0;5;0;5;15;15;27;59.2;40.8
68036;11.3;24.4;8.5;53;2.4;0.4;63;304;655;228;1421;2592;96.6;3.4
68037;13.9;9.2;35.4;32.7;0;8.8;0;8;5;19;18;36;81.2;18.8
68038;18.8;11.2;36.7;19.5;3.5;10.2;5;27;16;53;28;117;74.1;25.9
68039;0;33.1;26.9;26.8;0;13.2;0;0;25;20;20;81;80.4;19.6
68040;10.2;21.5;27.2;31.5;9.6;0;50;53;111;140;162;477;87.7;12.3
68041;0;18.4;40.7;24.9;13.7;2.3;32;0;43;95;58;264;77.6;22.4
68042;9.7;24.1;34;20.9;10.8;0.4;122;110;272;384;236;1166;87.6;12.4
68043;4.3;24.8;41.3;21.5;8.2;0;56;29;169;281;146;617;86.1;13.9
68044;7.3;25.9;26.2;24;7.2;9.4;15;15;54;54;50;181;74.7;25.3
68045;21.6;7.2;42.9;21.2;7.2;0;5;15;5;30;15;68;80.8;19.2
68046;23.5;23.4;30.3;0;22.8;0;10;10;10;13;0;46;69.6;30.4
68049;6.8;18.5;27.6;32.2;12.1;2.8;23;13;35;52;61;203;85.5;14.5
68050;13.7;16.7;23.4;27.7;13.8;4.7;15;15;18;25;30;91;80;20
68051;14.8;14.4;18.6;13.2;20.4;18.6;27;20;19;25;18;131;58.8;41.2
68052;0;0;33.3;33.3;33.3;0;5;0;0;5;5;13;46.3;53.7
68054;20;39.7;40.3;0;0;0;0;5;10;10;0;29;62;38
68055;0;5.1;26;23.3;45.5;0;25;0;3;14;13;60;59.8;40.2
68056;19;29.1;27.7;15.2;9;0;230;484;740;704;387;2491;85.5;14.5
68057;0;56.4;0;43.6;0;0;0;0;10;0;8;35;85.4;14.6
68058;13.8;27.4;26.7;25.1;7;0;39;78;154;150;141;503;81.7;18.3
68059;5.2;21.6;28.3;38.1;5.7;1;27;25;102;134;180;550;87.1;12.9
68060;9.7;22.9;19.2;41.8;5.8;0.7;90;150;355;298;648;1453;92.2;7.8
68061;9.3;36.5;40.2;0;14;0;8;5;20;22;0;50;72.5;27.5
68062;12.9;20.7;30.2;23.2;11.4;1.5;40;45;72;105;81;353;85.9;14.1
68063;13.8;24.3;28.2;29.7;3.8;0.1;286;1028;1811;2107;2220;7198;92.7;7.3
68064;9.9;47.1;9.4;32;1.5;0;20;132;626;125;426;1236;98.1;1.9
68065;11.2;11.6;33.9;25.3;11.2;6.8;5;5;5;15;11;73;69.5;30.5
68066;15;29.7;30.9;19.6;4.6;0.1;2076;6828;13522;14067;8921;45278;91;9
68067;0;33;33.2;0;0;33.9;0;0;5;5;0;18;55.1;44.9
68068;10.1;23.1;38;21.7;7;0;74;106;244;401;229;1104;87.3;12.7
68069;14.4;14.1;14.3;25.9;16.7;14.5;18;15;15;15;28;139;69.2;30.8
68071;0;0;67.2;16.1;16.7;0;5;0;0;20;5;28;71.4;28.6
68072;21.6;17.2;26.7;21.5;8.6;4.3;10;25;20;31;25;107;78.2;21.8
68073;19.9;40.4;19.9;0;19.8;0;5;5;10;5;0;36;58.6;41.4
68074;11;22;16.3;33.6;17.1;0;15;10;20;15;30;99;82;18
68075;4.6;17.9;28.5;19.8;4.9;24.3;5;5;18;29;20;114;75.4;24.6
68076;0;0;25.8;38.1;10.3;25.8;6;0;0;15;22;51;78.7;21.3
68077;0;50.5;0;49.5;0;0;0;0;5;0;5;24;62.4;37.6
68078;11.9;17.9;24.2;28.3;9.2;8.5;70;91;137;185;216;661;80.2;19.8
68079;0;0;60;0;40;0;10;0;0;15;0;19;47.7;52.3
68080;0;51;24.5;24.5;0;0;0;0;10;5;5;22;81.9;18.1
68081;4.5;12.9;8.7;35.1;21.9;16.9;25;5;15;10;41;82;65.2;34.8
68082;10.7;26.2;28.3;30.1;4.4;0.4;127;309;757;819;870;2919;91.3;8.7
68083;0;83.8;0;16.2;0;0;0;0;25;0;5;26;73.1;26.9
68084;11.9;14.8;22.1;9.2;30;12;25;10;12;19;8;109;64.4;35.6
68085;0;0;63;0;37;0;10;0;0;17;0;36;60.6;39.4
68086;0;0;25.7;74.3;0;0;0;0;0;3;8;15;60.7;39.3
68087;9.9;14.8;15.2;40.1;10;10.1;10;10;15;15;40;84;79;21
68088;11.3;13;27.6;39;9.2;0;25;30;35;74;105;249;84.3;15.7
68089;7.9;23.8;32.5;23;11.1;1.6;35;25;75;103;73;336;76.1;23.9
68090;13.1;34.5;31.4;14.8;6.2;0;24;51;134;122;57;421;87.1;12.9
68091;27.2;40.1;14.9;14.9;2.8;0;49;467;689;257;256;1677;94.4;5.6
68092;3.6;18.7;22;18.5;0;37.2;0;1;5;6;5;33;74.8;25.2
68093;18.7;16.2;28.5;13.6;16.7;6.3;25;28;24;42;20;150;79.5;20.5
68094;4;25.4;22.2;28;20.4;0;28;5;35;30;38;130;73.4;26.6
68095;30.7;20;32.6;5.6;8.4;2.8;15;55;36;58;10;148;85.2;14.8
68096;23.5;0;38.1;38.4;0;0;0;3;0;5;5;20;90.1;9.9
68097;4.9;25.3;21.9;19.6;19.5;8.9;40;10;52;45;40;164;58.2;41.8
68098;0;4.4;24.3;49.5;21.8;0;25;0;5;28;56;135;82.2;17.8
