idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
century-21-202_3164_5285;pr;a;l;2;21;;1;490;;;0;0;1;0;C;198;41.92093;8.7374;0;4.0;;0.0;;0;A;;1.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
century-21-202_3164_5275;pr;a;l;1;25;;1;595;;;0;0;1;0;D;234;41.93151;8.73277;0;6.0;;0.0;;0;B;;1.0;1.0;;False;;True;;;Électrique;Climatisation révérsible;Individuel;a;n;13.0;a;2025-11;2A004;0502;2A0040502;H;H;2A00401;2A501;94;2A
ag200149-499415705;pr;a;l;2;54;;3;825;;;0;1;1;0;D;204;41.92615;8.72709;0;6.0;;;True;0;B;;;;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0503;2A0040503;H;H;2A00401;2A501;94;2A
hektor-alphagest-2150;pr;a;l;7;66;;3;1080;;;0;1;0;1;B;89;41.93296;8.72224;0;;;1.0;;0;C;1970.0;1.0;1.0;;;2.0;True;;;Gaz;Radiateur;Individuel;a;n;;a;2025-11;2A004;0503;2A0040503;H;H;2A00401;2A501;94;2A
ag200050-499535546;pr;a;l;5;31;;1;673;;;0;0;1;0;D;196;41.90845;8.68224;0;5.0;;1.0;False;sud-ouest;D;;1.0;;;;;True;;;;;;a;n;;a;2025-11;2A004;0402;2A0040402;H;H;2A00401;2A501;94;2A
netty-company34713mnf-appt-7064;pr;a;l;3;77;;3;1227;;;0;0;0;1;C;106;41.91142;8.71197;0;;;;;Sud;D;;;1.0;;;;True;;;Gaz;;;a;n;;a;2025-11;2A004;0402;2A0040402;H;H;2A00401;2A501;94;2A
ag200050-498638456;pr;a;l;4;54;;2;870;;;0;0;0;1;A;32;41.90825;8.66174;0;;;;False;0;A;;;;;;;True;;;;;;a;n;;a;2025-11;2A004;0402;2A0040402;H;H;2A00401;2A501;94;2A
netty-company34713mnf-appt-7058;pr;a;l;2;24;;1;627;;;0;0;1;0;C;142;41.90859;8.70989;0;;;;;Sud;D;;1.0;1.0;;;;True;;;Gaz;;;a;n;;a;2025-11;2A004;0402;2A0040402;H;H;2A00401;2A501;94;2A
century-21-202_3164_5282;pr;a;l;2;75;;4;1190;;;0;0;1;1;NS;;41.90772;8.67799;0;3.0;;0.0;;0;;;;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;14.0;a;2025-11;2A004;0402;2A0040402;H;H;2A00401;2A501;94;2A
ag200050-500514485;pr;a;l;3;35;;2;718;;;0;0;1;1;C;169;41.91943;8.72632;0;;;;;0;A;;;;;;;;;;;;;a;n;;a;2025-11;2A004;0301;2A0040301;H;H;2A00401;2A501;94;2A
ladresse-1-adresse-12332490;pr;a;l;0;30;;1;556;;;0;0;1;0;D;212;41.91973;8.73046;0;3.0;;;;0;B;1960.0;1.0;1.0;;;;False;;;;Pompe à chaleur;Individuel;a;n;;a;2025-11;2A004;0301;2A0040301;H;H;2A00401;2A501;94;2A
hektor-alphagest-2154;pr;a;l;6;80;;3;1100;;;0;1;1;0;D;175;41.91816;8.72976;0;8.0;;;;0;A;1949.0;;;;;;False;;;;Radiateur;Individuel;a;n;;a;2025-11;2A004;0301;2A0040301;H;H;2A00401;2A501;94;2A
netty-company34713mnf-appt-7065;pr;a;l;12;90;;3;1510;;;0;0;1;1;D;190;41.91885;8.7282;0;13.0;;;True;Sud;B;;1.0;1.0;;;;True;;;Électrique;;;a;n;;a;2025-11;2A004;0301;2A0040301;H;H;2A00401;2A501;94;2A
ladresse-1-adresse-10999957;pr;a;l;5;32;;1;536;;;0;0;0;1;D;243;41.91965;8.72748;0;12.0;;1.0;;0;B;1980.0;1.0;;;;;True;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0301;2A0040301;H;H;2A00401;2A501;94;2A
netty-company34713mnf-appt-7054;pr;a;l;2;45;;2;988;;;0;0;1;0;A;34;41.8916;8.81412;0;;;1.0;False;0;A;2018.0;;1.0;;;;True;;;;Pompe à chaleur;;a;n;8.0;a;2025-11;2A130;0000;2A1300000;Z;Z;2A13000;2A000;94;2A
netty-company34713mnf-appt-7057;pr;a;l;1;24;;1;656;;;0;0;1;0;D;165;41.88817;8.80282;0;2.0;;1.0;False;Nord;A;2015.0;1.0;1.0;;;;False;;;;Pompe à chaleur;Individuel;a;n;;a;2025-11;2A130;0000;2A1300000;Z;Z;2A13000;2A000;94;2A
ag200077-496180547;pr;a;l;0;35;;2;820;;;0;0;1;0;C;156;41.97012;8.79543;0;;;;;0;A;;1.0;;;;;False;;;;;Individuel;a;n;;a;2025-11;2A001;0000;2A0010000;Z;Z;2A00100;2A105;94;2A
century-21-202_3164_5294;pr;m;l;0;75;;3;940;;;0;0;1;1;NS;;41.92016;8.82664;0;;;0.0;;0;;;2.0;0.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2025-11;2A032;0000;2A0320000;Z;Z;2A03200;2A103;94;2A
century-21-202_3164_5295;pr;a;l;0;28;;1;430;;;0;0;0;1;NS;;41.93543;8.8366;0;;;0.0;;0;;;1.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-11;2A032;0000;2A0320000;Z;Z;2A03200;2A103;94;2A
immo-facile-59512254;pr;a;l;0;75;;3;1550;;;0;0;1;0;NS;;41.91805;8.8365;0;;;3.0;;0;VI;;2.0;2.0;;;;;;;;;Individuel;a;n;;a;2025-11;2A032;0000;2A0320000;Z;Z;2A03200;2A103;94;2A
netty-company34713mnf-appt-7061;pr;a;l;0;44;;2;875;;;0;0;1;0;B;103;41.85625;8.79291;0;;;1.0;False;0;A;;;1.0;;;;False;;;;Pompe à chaleur;;a;n;;a;2025-11;2A008;0000;2A0080000;Z;Z;2A00800;2A000;94;2A
hektor-lespaceporto-415;pr;m;l;0;84;97.0;3;1320;;;0;0;0;1;C;112;41.54558;9.19493;0;3.0;;;;Sud-Est;A;2006.0;2.0;;;;;;;;;;Individuel;a;n;;m;2025-11;2A288;0000;2A2880000;Z;Z;2A28800;2A000;94;2A
immo-facile-59497416;pr;a;l;0;55;;2;720;;;0;0;1;0;NS;;42.08097;9.05838;0;4.0;;;;0;VI;;1.0;;;;;;;;;;Individuel;a;n;;a;2025-11;2A040;0000;2A0400000;Z;Z;2A04000;2A000;94;2A
hektor-lespaceporto-45;pr;a;l;2;48;;2;574;;;0;0;0;1;C;147;41.73514;9.33376;0;;;;False;0;B;1983.0;;1.0;;;;False;;;;;Individuel;a;n;;a;2025-11;2A092;0000;2A0920000;Z;Z;2A09200;2A000;94;2A
netty-company34713mnf-appt-7050;pr;a;l;1;77;;3;1300;;;0;0;1;0;A;37;41.84245;8.82343;0;;;2.0;True;0;A;;2.0;1.0;;;;False;;;;Pompe à chaleur;;a;n;6.0;a;2025-11;2A228;0000;2A2280000;Z;Z;2A22800;2A000;94;2A
hektor-cotiimmobilier201-1668;pr;a;l;1;85;;4;748;;;0;0;1;0;NS;;41.64892;8.94475;0;;;;;0;NS;;1.0;1.0;;;;False;;;;;;a;n;;a;2025-11;2A272;0000;2A2720000;Z;Z;2A27200;2A102;94;2A
hektor-cotiimmobilier201-1666;pr;a;l;0;67;;3;534;;;0;0;0;1;NS;;41.64892;8.94475;0;;;;;0;NS;2024.0;1.0;1.0;;;;False;;;;;;a;n;;a;2025-11;2A272;0000;2A2720000;Z;Z;2A27200;2A102;94;2A
