IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
732110000;73;73106;73211;ZZZZZZ;7321100;Z;805;139;105;142;191;168;59;183;465;157;686;19;34;20;108;88;94;259;63;793;12;20;803;2
732120000;73;73000;73212;ZZZZZZ;7321200;Z;2008;358;321;376;387;303;262;483;1061;463;1643;0;70;80;255;305;240;519;175;1916;92;130;1895;113
732130101;73;73601;73213;ZZZZZZ;7321301;H;2839;464;521;555;548;490;261;650;1621;568;2421;10;74;203;496;471;273;575;319;2657;181;248;2813;25
732130102;73;73601;73213;ZZZZZZ;7321301;H;1640;298;286;295;273;302;184;384;858;397;1303;0;20;59;208;188;154;456;218;1470;169;217;1640;0
732130103;73;73601;73213;ZZZZZZ;7321301;H;3979;714;629;745;864;656;371;961;2228;791;3307;0;168;367;679;506;263;877;448;3846;133;236;3902;77
732140000;73;73000;73214;ZZZZZZ;7321400;Z;232;43;34;47;53;39;16;55;145;32;205;0;10;15;40;40;40;40;20;228;4;6;232;0
732150000;73;00358;73215;ZZZZZZ;7321500;Z;4111;838;564;778;765;692;474;1063;2169;879;3300;0;75;205;451;501;511;1134;421;3897;214;298;4051;60
732160000;73;73000;73216;ZZZZZZ;7321600;Z;478;92;81;86;110;60;49;126;265;87;346;5;5;20;20;69;99;74;54;459;19;23;478;0
732170000;73;00358;73217;ZZZZZZ;7321700;Z;367;100;48;101;66;36;16;127;204;36;280;0;20;30;25;55;50;60;40;363;4;7;367;0
732180000;73;73000;73218;ZZZZZZ;7321800;Z;837;157;97;161;206;165;50;199;493;145;703;0;51;72;97;149;51;226;56;823;14;24;837;0
732190000;73;00360;73219;ZZZZZZ;7321900;Z;643;137;78;146;140;98;44;178;369;96;507;0;30;89;79;69;54;133;54;622;21;35;643;0
732200000;73;73000;73220;ZZZZZZ;7322000;Z;356;62;33;53;92;77;39;76;196;84;297;5;20;20;44;20;15;132;44;344;12;15;356;0
732210000;73;73000;73221;ZZZZZZ;7322100;Z;100;15;7;15;18;26;19;18;43;39;102;0;11;11;17;6;11;40;6;99;1;1;100;0
732220101;73;73601;73222;ZZZZZZ;7322201;H;2537;401;390;380;601;462;302;549;1419;569;2148;0;53;211;415;374;158;699;238;2417;120;195;2458;79
732220102;73;73601;73222;ZZZZZZ;7322201;H;3470;561;584;630;723;674;299;754;1979;738;2932;10;115;326;546;459;310;820;346;3364;106;164;3397;73
732230000;73;73000;73223;ZZZZZZ;7322300;Z;457;88;65;63;114;88;39;117;246;94;383;0;26;31;51;71;71;82;51;438;19;23;457;0
732240000;73;73107;73224;ZZZZZZ;7322400;Z;868;148;131;182;183;144;80;199;503;165;699;0;31;10;145;89;155;202;68;857;11;28;868;0
732250000;73;73601;73225;ZZZZZZ;7322500;Z;2809;399;360;445;766;529;310;557;1598;654;2401;10;81;324;395;293;212;738;348;2727;82;160;2643;166
732260000;73;00360;73226;ZZZZZZ;7322600;Z;1671;310;236;313;365;320;125;417;931;323;1332;10;73;64;152;245;176;446;167;1633;38;71;1671;0
732270000;73;73000;73227;ZZZZZZ;7322700;Z;2361;461;341;526;582;313;138;579;1439;342;1903;5;212;89;490;435;119;381;173;2144;217;229;2361;0
732280000;73;73601;73228;ZZZZZZ;7322800;Z;838;153;139;157;181;147;61;212;478;148;690;15;60;50;100;105;95;185;80;827;11;25;838;0
732290000;73;73000;73229;ZZZZZZ;7322900;Z;531;92;70;90;103;91;85;123;267;142;438;10;35;15;35;60;60;187;34;523;8;17;484;47
732300000;73;73000;73230;ZZZZZZ;7323000;Z;135;15;18;17;16;50;19;23;59;53;120;5;10;0;5;10;0;75;15;133;2;1;135;0
732310000;73;73107;73231;ZZZZZZ;7323100;Z;1195;203;177;187;265;232;131;257;660;278;1005;5;50;40;135;170;130;350;125;1157;38;63;1195;0
732320000;73;73000;73232;ZZZZZZ;7323200;Z;768;138;93;165;201;102;69;173;461;135;599;0;73;31;120;135;109;94;36;670;98;97;768;0
732330000;73;73000;73233;ZZZZZZ;7323300;Z;167;24;23;38;40;30;11;32;101;34;136;0;15;15;35;25;10;35;0;164;3;4;167;0
732340000;73;73000;73234;ZZZZZZ;7323400;Z;150;24;26;30;37;22;11;32;94;24;125;0;0;25;40;15;15;15;15;149;1;5;150;0
732350000;73;73000;73235;ZZZZZZ;7323500;Z;517;62;95;92;122;108;38;90;335;92;455;9;33;19;76;81;38;128;71;509;8;15;517;0
732360000;73;00274;73236;ZZZZZZ;7323600;Z;2944;550;440;534;599;491;330;732;1560;652;2370;5;135;142;427;312;352;700;297;2862;82;123;2887;57
732370000;73;73000;73237;ZZZZZZ;7323700;Z;339;62;31;69;64;81;32;68;190;80;265;5;0;20;15;56;51;107;10;331;8;11;339;0
732400000;73;73000;73240;ZZZZZZ;7324000;Z;779;176;86;158;185;140;34;215;442;122;631;0;50;45;119;99;79;159;79;768;11;27;778;1
732410000;73;73401;73241;ZZZZZZ;7324100;Z;1183;223;190;234;279;173;83;297;701;185;946;15;60;75;145;185;145;215;105;1169;14;31;1182;1
732420000;73;73000;73242;ZZZZZZ;7324200;Z;266;43;53;46;69;45;10;59;174;33;225;20;29;10;15;34;59;34;24;262;4;6;266;0
732430000;73;73601;73243;ZZZZZZ;7324300;Z;1697;312;235;333;386;316;115;404;989;304;1401;0;59;202;349;270;88;320;113;1680;17;36;1697;0
732450000;73;73000;73245;ZZZZZZ;7324500;Z;813;178;119;183;167;118;47;217;478;118;617;25;55;30;100;129;104;119;55;807;6;16;813;0
732460000;73;73000;73246;ZZZZZZ;7324600;Z;291;67;48;60;70;37;9;86;177;27;219;5;10;10;51;61;25;36;20;289;2;7;291;0
732470000;73;73108;73247;ZZZZZZ;7324700;Z;937;198;134;190;215;135;64;250;551;135;731;25;34;69;152;108;98;172;74;897;40;56;937;0
732480101;73;73301;73248;ZZZZZZ;7324801;H;1507;281;290;215;306;239;176;402;776;330;1256;0;35;45;100;243;203;375;256;1256;252;335;1487;20
732480102;73;73301;73248;ZZZZZZ;7324801;H;1896;216;254;267;365;359;435;288;935;673;1669;0;34;80;200;194;215;708;238;1788;109;166;1725;171
732480103;73;73301;73248;ZZZZZZ;7324801;H;1674;313;258;317;318;278;190;405;907;362;1357;0;39;30;144;214;307;391;232;1455;220;273;1674;0
732480104;73;73301;73248;ZZZZZZ;7324801;H;2668;423;358;420;616;514;338;551;1470;647;2242;10;84;124;332;387;352;755;197;2544;123;192;2617;51
732490000;73;73601;73249;ZZZZZZ;7324900;Z;1704;365;275;394;356;218;96;461;1012;231;1360;25;75;150;250;245;170;295;150;1667;37;70;1704;0
732500000;73;73101;73250;ZZZZZZ;7325000;Z;1618;278;175;306;340;347;173;343;903;372;1351;5;75;80;209;264;189;426;104;1585;33;84;1618;0
732520000;73;73000;73252;ZZZZZZ;7325200;Z;224;29;29;35;60;49;21;39;136;49;199;0;5;0;19;44;58;63;10;222;2;4;224;0
