type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;2;97;;3;1625;;;0;2;1;1;D;193.0;41.91522;8.72635;0;;;1.0;False;0;E;1980.0;1.0;2.0;;;11.0;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-02;2A004;0302;2A0040302;H;2A
pr;a;l;1;51;;2;660;;;0;0;0;1;0;;41.92176;8.82806;0;2.0;;0.0;;0;;2000.0;1.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-02;2A032;0000;2A0320000;Z;2A
pr;a;l;0;73;;3;890;;;0;0;0;1;A;35;41.93619;8.74006;0;6.0;;;;0;VI;2016.0;1.0;1.0;;;;True;;;Gaz;;Collectif;a;n;a;2020-02;2A004;0601;2A0040601;H;2A
pr;a;l;1;65;;4;750;;;0;1;1;0;D;226.0;41.92694;8.73533;0;;;;True;0;E;;1.0;;;;;False;;;Gaz;;Individuel;a;n;a;2020-02;2A004;0101;2A0040101;H;2A
pr;a;l;6;110;;4;990;;;0;0;0;1;0;;41.92944;8.7376;0;8.0;;0.0;;0;;;1.0;0.0;;False;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-02;2A004;0102;2A0040102;H;2A
pr;a;l;0;124;;4;1300;;;0;0;1;1;VI;;41.92963;8.73522;0;;;;;0;VI;;;;;;;;;;;;;a;n;a;2020-02;2A004;0102;2A0040102;H;2A
pr;a;l;1;47;;2;750;;;0;1;1;0;D;184;41.92901;8.73638;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A004;0102;2A0040102;H;2A
pr;a;l;0;49;;2;720;;;0;0;0;0;D;177.0;41.91988;8.79585;0;;;;False;0;B;;;;;;;False;;;;;;a;n;a;2020-02;2A004;0901;2A0040901;A;2A
pr;a;l;2;70;;3;1350;;;0;0;1;0;A;1;41.89034;8.80714;0;3.0;;1.0;;0;A;2017.0;1.0;1.0;;;;True;;;Électrique;;Collectif;a;n;a;2020-02;2A130;0000;2A1300000;Z;2A
pr;a;l;1;38;;2;750;;;0;0;1;0;E;231.0;41.89711;8.81002;0;1.0;;;;0;B;1980.0;1.0;1.0;;False;;False;;;;;Individuel;a;n;a;2020-02;2A130;0000;2A1300000;Z;2A
pr;a;l;1;75;;3;604;;;0;0;1;0;NS;;41.62205;8.97252;0;4.0;;;;0;;;1.0;;;;;;;;;;;a;n;a;2020-02;2A272;0000;2A2720000;Z;2A
pr;a;l;5;20;;1;550;;;0;0;1;0;D;184.0;41.92237;8.73604;0;5.0;;;;0;A;2001.0;;;;;;True;;;Électrique;Climatisation révérsible;;a;n;a;2020-02;2A004;0201;2A0040201;H;2A
pr;a;l;2;26;;1;560;;;0;0;1;0;0;;41.9212;8.73844;0;6.0;;0.0;;0;;;0.0;0.0;;False;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-02;2A004;0201;2A0040201;H;2A
pr;a;l;1;33;;1;680;;;0;0;1;0;0;;41.9207;8.73863;0;6.0;;0.0;;0;;;1.0;0.0;;False;;False;;;;;;a;n;a;2020-02;2A004;0201;2A0040201;H;2A
pr;m;l;0;141;900.0;5;1950;;;0;0;1;1;C;124;41.85489;8.79425;0;;;;;0;A;2012.0;2.0;;;;;;;;;;Individuel;a;n;m;2020-02;2A008;0000;2A0080000;Z;2A
pr;a;l;2;40;;2;695;;;0;0;1;0;F;355.0;41.86321;8.79452;0;2.0;;;;0;C;;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-02;2A008;0000;2A0080000;Z;2A
pr;a;l;2;130;;4;1386;;;0;1;1;1;D;154.0;41.92232;8.73516;0;;;;True;0;D;;;;;;;True;;;;;;a;n;a;2020-01;2A004;0201;2A0040201;H;2A
pr;a;l;0;28;;1;510;;;0;0;1;0;C;102;41.92027;8.73821;0;6.0;;;;0;A;;;;;;;;;;;;Individuel;a;n;a;2020-01;2A004;0201;2A0040201;H;2A
