DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A035;pr;a;m;v;9;C;206.5;930000.0;4508.1;;;0.0;3.5;3.5;2
2A;2A035;pr;a;m;vp;8;C;210.0;930000.0;4428.57;;;0.0;7.0;0.0;1
2A;2A035;pr;a;m;vp;9;C;213.0;930000.0;4366.2;;;0.0;7.0;0.0;1
2A;2A040;pr;a;m;v;5;D;117.0;320000.0;2735.04;;;0.0;2.0;0.0;1
2A;2A041;pr;a;a;v;1;0;36.0;139100.0;3863.89;;;1.0;1.0;0.0;1
2A;2A041;pr;a;a;v;2;0;48.0;270000.0;5625.0;;;0.0;0.0;0.0;3
2A;2A041;pr;a;a;v;2;NS;117.0;260000.0;2222.22;;;0.0;0.0;0.0;1
2A;2A041;pr;a;a;v;3;0;68.5;390000.0;5642.98;;;0.0;0.17;0.0;6
2A;2A041;pr;a;a;v;4;0;103.5;585000.0;5638.58;;;0.0;0.0;0.0;4
2A;2A041;pr;a;a;v;4;NS;93.0;331000.0;3559.14;;;0.0;1.0;0.0;1
2A;2A041;pr;a;a;v;5;0;95.0;590000.0;6210.53;;;0.0;0.0;0.0;1
2A;2A041;pr;a;m;v;10;G;270.0;1990000.0;7370.37;;;0.0;0.0;0.0;1
2A;2A041;pr;a;m;v;4;0;130.0;1438500.0;11065.38;;;0.0;1.0;1.0;1
2A;2A041;pr;a;m;v;4;B;130.0;530000.0;4076.92;;;0.0;1.0;1.0;1
2A;2A041;pr;a;m;v;4;C;120.0;540000.0;4500.0;;;0.0;2.0;0.0;1
2A;2A041;pr;a;m;v;5;E;138.0;639000.0;4630.43;;;0.0;1.0;2.0;1
2A;2A041;pr;a;m;v;6;C;200.0;525000.0;2625.0;;;0.0;1.0;1.0;1
2A;2A041;pr;a;m;v;7;NS;280.0;5200000.0;18571.43;;;0.0;0.0;4.0;1
2A;2A041;pr;a;m;v;8;C;300.0;1250000.0;4166.67;;;0.0;0.0;0.0;1
2A;2A041;pr;a;m;vp;5;C;125.0;590000.0;4720.0;;;0.0;2.0;0.0;1
2A;2A041;pr;a;m;vp;5;E;138.0;639000.0;4630.43;;;0.0;1.0;2.0;1
2A;2A041;pr;ca;an;v;3;0;70.0;267000.0;3814.54;;;0.0;0.0;0.0;2
2A;2A041;pr;cm;mn;v;5;0;119.0;705000.0;5924.37;;;0.0;0.0;0.0;1
2A;2A041;pr;m;m;v;9;C;202.0;519950.0;2574.01;;;0.0;1.0;2.0;1
2A;2A048;pr;a;a;v;1;0;26.0;100000.0;3846.15;;;0.0;1.0;0.0;1
2A;2A048;pr;a;a;v;1;NS;26.0;100000.0;3846.15;;;0.0;1.0;0.0;1
2A;2A048;pr;a;a;v;2;0;25.0;98000.0;3920.0;;;1.0;1.0;0.0;1
2A;2A048;pr;a;a;v;2;VI;25.0;98000.0;3920.0;;;1.0;1.0;0.0;1
2A;2A048;pr;a;a;v;3;VI;57.0;336000.0;5894.74;;;0.0;1.0;0.0;1
2A;2A048;pr;a;a;v;4;0;120.0;195000.0;1625.0;;;0.0;1.0;1.0;1
2A;2A048;pr;a;m;v;3;E;108.0;435000.0;4027.78;;;0.0;1.0;0.0;2
2A;2A056;pr;a;m;v;4;D;90.0;255000.0;2833.33;;;0.0;2.0;0.0;1
2A;2A062;pr;a;m;v;4;C;112.0;353000.0;3151.79;;;0.0;0.0;1.0;1
2A;2A062;pr;a;m;v;5;C;144.0;294000.0;2041.67;;;0.0;2.0;0.0;1
2A;2A062;pr;a;m;v;6;A;135.0;352000.0;2607.41;;;0.0;2.0;1.0;1
2A;2A062;pr;a;m;v;6;NS;150.0;353000.0;2353.33;;;0.0;3.0;0.0;1
2A;2A064;pr;a;m;vp;7;0;280.0;545000.0;1946.43;;;0.0;3.0;1.0;1
2A;2A064;pr;a;m;vp;9;E;220.0;595000.0;2704.55;;;0.0;0.0;0.0;1
2A;2A065;pr;a;a;v;1;0;42.0;160000.0;3809.52;;;0.0;0.0;0.0;1
2A;2A065;pr;a;a;v;1;VI;42.0;160000.0;3809.52;;;0.0;1.0;0.0;1
2A;2A065;pr;a;a;v;2;0;60.5;219000.0;3697.9;;;0.0;0.0;0.0;4
2A;2A065;pr;a;a;v;2;NS;67.0;224000.0;3432.84;;;0.0;1.0;0.0;3
2A;2A065;pr;a;a;v;2;VI;54.0;214000.0;3962.96;;;0.0;1.0;0.0;1
2A;2A065;pr;a;a;v;3;0;68.0;295000.0;4338.24;;;0.0;0.67;0.0;3
2A;2A065;pr;a;a;v;3;NS;68.0;295000.0;4338.24;;;0.0;1.33;0.0;3
2A;2A065;pr;a;a;v;3;VI;68.0;274000.0;4029.41;;;0.0;1.0;0.0;1
2A;2A065;pr;a;a;v;4;C;74.0;139900.0;1890.54;;;0.0;0.0;1.0;1
2A;2A065;pr;a;m;v;4;0;136.0;950000.0;6985.29;;;0.0;2.0;0.0;1
2A;2A065;pr;a;m;v;5;0;280.0;1850000.0;6607.14;;;1.0;0.0;3.0;1
2A;2A065;pr;a;m;v;9;C;235.0;1280000.0;5446.81;;;0.0;4.0;0.0;1
2A;2A065;pr;a;m;vp;10;0;360.0;1470000.0;4083.33;;;1.0;4.0;0.0;1
2A;2A065;pr;a;m;vp;6;VI;220.0;1400000.0;6363.64;;;0.0;0.0;0.0;1
2A;2A065;pr;ca;an;v;1;0;42.0;160000.0;3809.52;;;0.0;0.0;0.0;1
2A;2A065;pr;ca;an;v;2;0;60.5;219000.0;3653.12;;;0.0;0.0;0.0;2
2A;2A065;pr;ca;an;v;3;0;70.5;287500.0;4051.67;;;0.0;0.0;0.0;2
2A;2A065;pr;ca;an;v;4;0;81.0;388000.0;4740.26;;;0.0;0.0;0.0;3
2A;2A070;pr;a;m;vp;4;0;135.0;990000.0;7333.33;;;0.0;1.0;1.0;1
2A;2A085;pr;a;a;v;3;B;61.0;262500.0;4303.28;11.0;0.031;0.0;1.0;0.0;1
2A;2A085;pr;a;m;v;5;C;140.0;380000.0;2714.29;;;0.0;1.0;1.0;1
