type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;1;55;;2;650;;;0;0;0;1;VI;;43.29508;5.39575;0;7.0;;;;Sud;;;1.0;;;;;True;;;;;;a;n;a;2020-04;13205;0206;132050206;H;13;93.0
pr;a;l;8;45;;2;690;;;0;1;1;0;NS;;43.30986;5.37318;0;;;;False;Sud;NS;;1.0;;False;False;5.0;True;;;;;;a;n;a;2020-04;13203;0401;132030401;H;13;93.0
pr;a;l;0;72;;3;1070;;;0;0;0;1;E;319;43.31452;5.44251;0;1.0;;1.0;;0;C;;;;;False;;False;;;Électrique;;Individuel;a;n;a;2020-04;13212;0604;132120604;H;13;93.0
pr;a;l;1;32;;2;760;;;0;0;1;0;D;169.0;43.65896;7.14397;0;6.0;;1.0;;0;A;1997.0;1.0;1.0;;True;;False;;;Électrique;;Individuel;a;n;a;2020-04;06027;0102;060270102;H;06;93.0
pr;a;l;0;41;;2;715;;;0;0;0;1;C;110.0;43.25149;6.54065;0;0.0;;;;0;B;;1.0;1.0;;False;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;83042;0104;830420104;H;83;93.0
pr;a;l;2;34;;2;648;;;0;0;1;0;VI;;43.70632;7.28325;0;5.0;;0.0;;0;VI;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;06088;0301;060880301;H;06;93.0
pr;a;l;0;46;;2;850;;;0;0;0;1;D;196.16;43.58714;7.04172;0;6.0;;1.0;True;0;B;;;;;True;;True;;;Électrique;Convecteur;;a;n;a;2020-04;06085;0108;060850108;H;06;93.0
pr;a;l;0;38;;1;820;;;0;0;0;1;D;226.0;43.63689;7.1377;0;;;;False;Sud-Est-Ouest;B;1976.0;1.0;;;;;True;;;;;;a;n;a;2020-04;06161;0105;061610105;H;06;93.0
pr;a;l;0;27;;2;710;;;0;0;0;1;D;217;43.63687;7.13671;0;;;1.0;False;Est;C;1991.0;1.0;;;;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;06161;0105;061610105;H;06;93.0
pr;a;l;1;45;;2;890;;;0;0;0;1;C;118;43.68731;7.21557;0;4.0;;1.0;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-04;06088;2804;060882804;H;06;93.0
