type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;0;105;;3;1400;;;0;0;0;0;F;379;45.19769;5.73516;0;5.0;;;False;0;D;1977.0;;;;False;;True;;;Électrique;Radiateur;Collectif;m;n;a;2020-04;38185;0210;381850210;H;38
pr;a;l;1;22;;1;435;;;0;1;0;1;F;366.0;45.17825;5.73198;0;7.0;;;True;0;E;;1.0;;;;;True;;;;;Collectif;a;n;a;2020-04;38185;0409;381850409;H;38
pr;a;l;0;97;;5;1201;;;0;0;1;1;D;200;45.17622;5.7331;0;2.0;;;False;0;B;1992.0;2.0;;;;;True;;;;;;a;n;a;2020-04;38185;0409;381850409;H;38
pr;a;l;1;70;;3;796;;;0;1;0;1;E;328;45.17555;5.73708;0;;;0.0;;0;C;;;0.0;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;38185;0409;381850409;H;38
pr;a;l;1;55;;3;500;;;0;0;0;1;E;324;45.53115;5.30783;0;3.0;;;;0;C;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;38156;0000;381560000;Z;38
pr;a;l;3;79;;3;715;;;0;0;0;1;E;302.95;45.1909;5.71911;0;0.0;;;;0;F;1980.0;;;;;;False;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;38185;0105;381850105;H;38
pr;a;l;2;22;;1;457;;;0;0;0;1;E;310;45.18998;5.71732;0;5.0;;0.0;;0;C;;;0.0;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38185;0105;381850105;H;38
pr;a;l;7;26;;1;556;;;0;1;0;1;NS;;45.19091;5.71682;0;;;;False;0;;;1.0;;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-04;38185;0105;381850105;H;38
pr;a;l;5;15;;1;362;;;0;0;1;0;NS;;45.18988;5.71917;0;;;;False;Ouest;;;1.0;;;;;True;;;Électrique;Radiateur;;a;n;a;2020-04;38185;0105;381850105;H;38
pr;a;l;6;104;;4;1194;;;0;0;0;1;D;208.0;45.18967;5.71596;0;;;;True;Nord;C;;1.0;;;;;True;;;;;Individuel;a;n;a;2020-04;38185;0105;381850105;H;38
pr;a;l;2;80;;3;850;;;0;0;1;0;E;250;45.11032;5.78782;0;2.0;;;False;Sud;F;;1.0;;;;;False;;;;;Collectif;a;n;a;2020-04;38059;0000;380590000;Z;38
pr;a;l;2;52;;3;749;;;0;1;0;1;D;208;45.18882;5.70619;0;;;1.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;38185;0106;381850106;H;38
pr;a;l;5;53;;3;742;;;0;1;1;0;E;328;45.18111;5.70737;0;;;;False;0;E;;;;;;;False;;;Gaz;;;a;n;a;2020-04;38185;0302;381850302;H;38
pr;a;l;4;59;;3;800;;;0;0;0;1;F;388;45.18636;5.72002;0;5.0;;1.0;True;0;D;;;;;True;;True;;;Électrique;Convecteur;;a;n;a;2020-04;38185;0211;381850211;H;38
pr;a;l;2;72;;3;811;;;0;0;0;1;D;202;45.18602;5.72413;0;4.0;;;;0;E;;;;;False;;False;;;Gaz;;;a;n;a;2020-04;38185;0211;381850211;H;38
pr;a;l;2;25;;2;400;;;0;0;1;0;F;395;45.18878;5.71299;0;;;;False;0;D;1940.0;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38185;0106;381850106;H;38
pr;a;l;3;72;;3;997;;;0;1;1;0;D;172;45.18958;5.71553;0;;;;False;0;E;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;38185;0103;381850103;H;38
pr;a;l;4;39;;1;475;;;0;0;1;0;E;268;45.19092;5.71436;0;4.0;;;False;Ouest;B;;1.0;;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;38185;0103;381850103;H;38
