INSEE_COM;LIBCOM;DEP;REG;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020
88497;Vaxoncourt;88;44;881;8808;200068757;CA;4407;88000
88498;Vecoux;88;44;881;8815;200068377;CC;4414;88401
88499;Velotte-et-Tatignécourt;88;44;881;8804;200068369;CC;4407;88000
88500;Ventron;88;44;883;8801;200096634;CC;4414;88302
88501;Le Vermont;88;44;883;8811;200071066;CA;4417;88000
88502;Vervezelle;88;44;881;8802;200042000;CC;4407;88000
88503;Vexaincourt;88;44;883;8811;200071066;CA;4417;88000
88504;Vicherey;88;44;882;8809;245400510;CC;4412;88000
88505;Vienville;88;44;883;8807;200071066;CA;4417;88000
88506;Vieux-Moulin;88;44;883;8811;200071066;CA;4417;88301
88507;Villers;88;44;881;8809;200068369;CC;4407;88000
88508;Ville-sur-Illon;88;44;881;8804;200068369;CC;4407;88000
88509;Villoncourt;88;44;881;8802;200068757;CA;4407;88000
88510;Villotte;88;44;882;8804;200068773;CC;4407;88000
88511;Villouxel;88;44;882;8810;200068559;CC;4404;88000
88512;Viménil;88;44;881;8802;200042000;CC;4407;88000
88513;Vincey;88;44;881;8803;200068757;CA;4407;88102
88514;Viocourt;88;44;882;8809;200068559;CC;4407;88000
88515;Vioménil;88;44;882;8816;200068773;CC;4407;88000
88516;Vittel;88;44;882;8817;200068682;CC;4407;88201
88517;Viviers-le-Gras;88;44;882;8804;200068773;CC;4407;88000
88518;Viviers-lès-Offroicourt;88;44;882;8817;200068682;CC;4407;88000
88519;La Voivre;88;44;883;8813;200071066;CA;4417;88301
